Name,Indian rupee
9/30/1998,12285
10/30/1998,12525.9
11/30/1998,12465.3
12/31/1998,12413.6
1/29/1999,12205.4
2/26/1999,12209.1
3/31/1999,12136.4
4/30/1999,12079.2
5/31/1999,11823.4
6/30/1999,11273.4
7/30/1999,11083.2
8/31/1999,11153.5
9/30/1999,11526.2
10/29/1999,13499.4
11/30/1999,12723.1
12/31/1999,12307.4
1/31/2000,12383.2
2/29/2000,13076.2
3/31/2000,12481.8
4/28/2000,12205.7
5/31/2000,12100.2
6/30/2000,12766.6
7/31/2000,12608.5
8/31/2000,12537.3
9/29/2000,12557.9
10/31/2000,12511.2
11/30/2000,12441.9
12/29/2000,12690.7
1/31/2001,12352.3
2/28/2001,12181.4
3/30/2001,12260.3
4/30/2001,12175.4
5/31/2001,12777.7
6/29/2001,12699
7/31/2001,12608.9
8/31/2001,12835.3
9/28/2001,13501.6
10/31/2001,13589.7
11/30/2001,13254.2
12/31/2001,13205.2
1/31/2002,13596.5
2/28/2002,14378.4
3/29/2002,14325.4
4/30/2002,14799.4
5/31/2002,15400.2
6/28/2002,15714.3
7/31/2002,15270.2
8/30/2002,15067
9/30/2002,15452.8
10/31/2002,15303.8
11/29/2002,15391
12/31/2002,15973.1
1/31/2003,17094.4
2/28/2003,17136.7
3/31/2003,16221.2
4/30/2003,15547.4
5/30/2003,16744.2
6/30/2003,16640.5
7/31/2003,16221.3
8/29/2003,16520
9/30/2003,17365.8
10/31/2003,17195.6
11/28/2003,17756.6
12/31/2003,18538.2
1/30/2004,18794.8
2/27/2004,18312.7
3/31/2004,18270.1
4/30/2004,17697.8
5/31/2004,17331.1
6/30/2004,17842.5
7/30/2004,18313.2
8/31/2004,18543.6
9/30/2004,18660
10/29/2004,19229.4
11/30/2004,19796.1
12/31/2004,19417.4
1/31/2005,18523
2/28/2005,18481.5
3/31/2005,18957.7
4/29/2005,18760.7
5/31/2005,18341.2
6/30/2005,18757.9
7/29/2005,18460.4
8/31/2005,19085.3
9/30/2005,20011.1
10/31/2005,21049.6
11/30/2005,21769.3
12/30/2005,23298
1/31/2006,24324
2/28/2006,24565.6
3/31/2006,24750.2
4/28/2006,27413.1
5/31/2006,30618.5
6/30/2006,27435.6
7/31/2006,29447.3
8/31/2006,29436.7
9/29/2006,27583.2
10/31/2006,26628
11/30/2006,28147.2
12/29/2006,28116.5
1/31/2007,27961.2
2/28/2007,29348.2
3/30/2007,28785
4/30/2007,28611.5
5/31/2007,27238.3
6/29/2007,26735.6
7/31/2007,26890
8/31/2007,27161.7
9/28/2007,28735.7
10/31/2007,29824.5
11/30/2007,31812.3
12/31/2007,31693.9
1/31/2008,35020.6
2/29/2008,36671
3/31/2008,39065.6
4/30/2008,36432.1
5/30/2008,37481.1
6/30/2008,38110.9
7/31/2008,40263.1
8/29/2008,36050.1
9/30/2008,37866.6
10/31/2008,39183.3
11/28/2008,37325.9
12/31/2008,39753.9
1/30/2009,41983.4
2/27/2009,46533
3/31/2009,47388.4
4/30/2009,44625.9
5/29/2009,45105.7
6/30/2009,45177.4
7/31/2009,45262.5
8/31/2009,45883.5
9/30/2009,48224.3
10/30/2009,48744.7
11/30/2009,52490.1
12/31/2009,52883.4
1/29/2010,51342.6
2/26/2010,50761.8
3/31/2010,50672.4
4/30/2010,51111.1
5/31/2010,55372.2
6/30/2010,57418.5
7/30/2010,55867.6
8/31/2010,56639.7
9/30/2010,58462.6
10/29/2010,59610.4
11/30/2010,61638
12/31/2010,62781.7
1/31/2011,61660.9
2/28/2011,62371.6
3/31/2011,64040.4
4/29/2011,65436.9
5/31/2011,67905.2
6/30/2011,68549.9
7/29/2011,69851.1
8/31/2011,79635.9
9/30/2011,84349.6
10/31/2011,82053.6
11/30/2011,88268.3
12/30/2011,86615.9
1/31/2012,84587.2
2/29/2012,85728
3/30/2012,84334.4
4/30/2012,85476.4
5/31/2012,86363.4
6/29/2012,89590.7
7/31/2012,88374.5
8/31/2012,90330
9/28/2012,95072.2
10/31/2012,92757.8
11/30/2012,94419.6
12/31/2012,92222.1
1/31/2013,90658.5
2/28/2013,87618.3
3/29/2013,86693.1
4/30/2013,80775.6
5/31/2013,77722.1
6/28/2013,78302.7
7/31/2013,76948.9
8/30/2013,84743.9
9/30/2013,86135
10/31/2013,81132.9
11/29/2013,79891
12/31/2013,75805.8
1/31/2014,77315.8
2/28/2014,80958.3
3/31/2014,81442
4/30/2014,78376.9
5/30/2014,76425.3
6/30/2014,76433.5
7/31/2014,78752.5
8/29/2014,78909.9
9/30/2014,75404.8
10/31/2014,75051.9
11/28/2014,72587.2
12/31/2014,75304.6
1/30/2015,77801.2
2/27/2015,76152.6
3/31/2015,73637.5
4/30/2015,75179.9
5/29/2015,76494.1
6/30/2015,75441.4
7/31/2015,71923.8
8/31/2015,72670.6
9/30/2015,74480.3
10/30/2015,75445.7
11/30/2015,71858.4
12/31/2015,71185.8
1/29/2016,73942.7
2/29/2016,81885.8
3/31/2016,83482.8
4/29/2016,82588.6
5/31/2016,84298.9
6/30/2016,85902
7/29/2016,89877.3
8/31/2016,89730
9/30/2016,88533.3
10/31/2016,84510
11/30/2016,83514.2
12/30/2016,78132.7
1/31/2017,81224.6
2/28/2017,82740.7
3/31/2017,81075.7
4/28/2017,81675.7
5/31/2017,80241.9
6/30/2017,81223
7/31/2017,79679.7
8/31/2017,82041.5
9/29/2017,84755.7
10/31/2017,83256.2
11/30/2017,83181.1
12/29/2017,81106.3
1/31/2018,84741.3
2/28/2018,85757.5
3/30/2018,86188.7
4/30/2018,87713.1
5/31/2018,88017
6/29/2018,86888.1
7/31/2018,85122.9
8/31/2018,83631.9
